Name,Type,MV,Colors,Cost,Sub-types,Produced,Flags,Power,FlagsVer
"Hydro-Man, Fluid Felon",Creature,2,U,{U}{U},Elemental;Villain,U,dork;ramp,2,3
Hydroblast,Instant,1,U,{U},,,counter;removal,,3
Hypnotic Sprite // Mesmeric Glare,Creature,2,U,{U}{U} // {2}{U},Faerie,,counter,2,3
I Am Iron Man,Instant,3,U,{2}{U},,,draw,,3
Ian the Reckless,Creature,2,R,{1}{R},Human;Warrior,,,2,3
Ice Cream Kitty,Creature,2,B G,{1}{B/G},Food;Cat;Mutant,,draw,1,3
Ice Flan,Creature,6,U,{4}{U}{U},Elemental;Ooze,,fetch:island,5,3
Ice Magic,Instant,2,U,{1}{U},,,,,3
Icy Manipulator,Artifact,4,,{4},,,,,3
Idolized,Enchantment,2,W,{1}{W},Aura,,,,3
Idyllic Beachfront,Land,0,U W,,Plains;Island,W U,etb-tapped,,3
Iguana Parrot,Creature,3,U,{2}{U},Lizard;Bird;Pirate,,,2,3
Il Mheg Pixie,Creature,2,U,{1}{U},Faerie,,,2,3
Illusion Spinners,Creature,5,U,{4}{U},Faerie;Wizard,,,4,3
Immoral Bargain,Sorcery,3,B G,{1}{B}{G},,,,,3
Imp's Mischief,Instant,2,B,{1}{B},,,,,3
Impolite Entrance,Sorcery,1,R,{R},,,draw,,3
Impractical Joke,Sorcery,1,R,{R},,,,,3
Indulgent Tormentor,Creature,5,B,{3}{B}{B},Demon,,draw,5,3
Infernal Grasp,Instant,2,B,{1}{B},,,removal,,3
Infiltrate,Instant,1,U,{U},,,,,3
Inflame,Instant,1,R,{R},,,,,3
Informed Inkwright,Creature,2,W,{1}{W},Human;Wizard,,,2,3
Inkling Mascot,Creature,2,B W,{W}{B},Inkling;Cat,,,2,3
Inner Demons Gangsters,Creature,4,B,{3}{B},Human;Rogue;Villain,,,3,3
Inside Information,Sorcery,2,B,{X}{B}{B},,,,,3
Insight,Enchantment,3,U,{2}{U},,,draw,,3
Inspired Fire,Instant,4,R,{3}{R},,,,,3
Inspired Sphinx,Creature,7,U,{5}{U}{U},Sphinx,,,5,3
Inspiring Statuary,Artifact,3,,{3},,,,,3
Inspirited Vanguard,Creature,5,G,{4}{G},Human;Soldier,,,3,3
Instant Ramen,Artifact,2,,{2},Food,,draw,,3
Instigator,Creature,2,B,{1}{B},Human;Spellshaper,,,1,3
Insubordination,Enchantment,2,B,{B}{B},Aura,,,,3
Interdict,Instant,2,U,{1}{U},,,draw,,3
Interdimensional Web Watch,Artifact,4,,{4},,W U B R G,mana-restricted;ramp;rock,,3
Interface Ace,Creature,2,W,{1}{W},Robot;Pilot,,,0,3
Intervene,Instant,1,U,{U},,,counter,,3
Intimidation,Enchantment,5,B,{2}{B}{B}{B},,,,,3
Intimidation Tactics,Sorcery,1,B,{B},,,draw,,3
Into the Story,Instant,7,U,{5}{U}{U},,,draw,,3
Inventory Management,Instant,2,R W,{R}{W},,,,,3
Invigorate,Instant,3,G,{2}{G},,,,,3
Inviolability,Enchantment,2,W,{1}{W},Aura,,,,3
"Invisible Woman, Sue Storm",Creature,5,W,{4}{W},Human;Hero,,,2,3
"Iron Fist, Hero for Hire",Creature,2,R,{1}{R},Human;Mercenary;Hero,,,2,3
"Iron Fist, Living Weapon",Creature,3,R,{2}{R},Human;Warrior;Hero,,,2,3
Iron Hills,Land,0,R W,,,W R,etb-tapped,,3
Iron Hills Blacksmith,Creature,2,W,{1}{W},Dwarf;Artificer,,,1,3
Iron Hills Stalwart,Creature,5,R,{4}{R},Dwarf;Warrior,,,4,3
"Iron Lad, Diverging Destiny",Creature,3,U,{2}{U},Human;Hero,,draw,2,3
Iron Lance,Artifact,2,,{2},,,,,3
Iron Maiden,Artifact,3,,{3},,,,,3
"Iron Man, Armored Avenger",Creature,4,U,{3}{U},Human;Hero,,draw,2,3
"Iron Man, Master of Machines",Creature,4,R U,{2}{U}{R},Human;Hero,,draw,1,3
"Iron Spider, Stark Upgrade",Creature,3,,{3},Spider;Hero,,draw,2,3
Iron Will,Instant,1,W,{W},,,draw,,3
"Ironheart, Clever Champion",Creature,5,U,{4}{U},Human;Hero,,,3,3
Irrigated Farmland,Land,0,U W,,Plains;Island,W U,draw;etb-tapped,,3
Island,Land,0,U,,Island,U,,,3
Isolated Chapel,Land,0,B W,,,W B,etb-tapped-cond,,3
"Isperia, Supreme Judge",Creature,6,U W,{2}{W}{W}{U}{U},Sphinx,,draw,6,3
It'll Quench Ya!,Instant,2,U,{1}{U},Lesson,,counter,,3
It's Clobberin' Time!,Sorcery,3,G,{2}{G},,,removal,,3
Item Shopkeep,Creature,2,R,{1}{R},Human;Citizen,,,2,3
Ivory Mask,Enchantment,4,W,{2}{W}{W},,,,,3
"Jack of Hearts, Volatile Hero",Creature,3,R,{1}{R}{R},Alien;Human;Hero,,draw,2,3
"Jackal, Genius Geneticist",Creature,2,G U,{G}{U},Human;Scientist;Villain,,,1,3
"Jadar, Ghoulcaller of Nephalia",Creature,2,B,{1}{B},Human;Wizard,,,1,3
"Jadzi, Steward of Fate // Oracle's Gift",Creature,3,U,{2}{U} // {X}{X}{U},Human;Wizard,,draw,2,3
Jalum Tome,Artifact,3,,{3},Book,,draw,,3
Jamuraan Lion,Creature,3,W,{2}{W},Cat,,,3,3
"Jarvis, Earth's Mightiest Butler",Creature,3,U,{2}{U},Human;Advisor,,draw,1,3
Jasmine Dragon Tea Shop,Land,0,,,,W U B R G C,mana-restricted,,3
"Jessica Jones, Private Eye",Creature,3,R,{2}{R},Human;Detective;Hero,,,2,3
Jeweled Torque,Artifact,2,,{2},,,,,3
Jhoira's Toolbox,Creature,2,,{2},Insect,,,1,3
Jhovall Rider,Creature,5,W,{4}{W},Human;Rebel,,,3,3
Jibbirik Omnivore,Creature,2,G,{1}{G},Beast,,,3,3
Jinxed Ring,Artifact,2,,{2},,,,,3
"Jocasta, Automaton Avenger",Creature,3,,{3},Robot;Hero,,,2,3
Johtull Wurm,Creature,6,G,{5}{G},Wurm,,,6,3
Jolrael's Favor,Enchantment,2,G,{1}{G},Aura,,,,3
"Joshua, Phoenix's Dominant",Creature,3,R W,{1}{R}{W},Human;Noble;Wizard,,,3,3
Jubilant Skybonder,Creature,3,U W,{1}{W/U}{W/U},Human;Wizard,,,2,3
Judge Magister Gabranth,Creature,2,B W,{W}{B},Human;Advisor;Knight,,,2,3
"June, Bounty Hunter",Creature,2,B,{1}{B},Human;Mercenary,,draw,2,3
Jungle Hollow,Land,0,B G,,,B G,etb-tapped,,3
Jungle Shrine,Land,0,G R W,,,W R G,etb-tapped;mana2,,3
Junk Jet,Artifact,2,R,{1}{R},Equipment,,,,3
Junktown,Land,0,R,,,C,,,3
Juxtapose,Sorcery,4,U,{3}{U},,,,,3
K'un-Lun Warrior,Creature,2,R,{1}{R},Human;Warrior;Hero,,draw,2,3
Ka-Zar of the Savage Land,Creature,5,G,{4}{G},Human;Barbarian;Hero,,,3,3
Kaalia of the Vast,Creature,4,B R W,{1}{R}{W}{B},Human;Cleric,,,2,3
Kaervek the Merciless,Creature,7,B R,{5}{B}{R},Human;Shaman,,,5,3
Kami of Ancient Law,Creature,2,W,{1}{W},Spirit,,,2,3
Kang Prime,Creature,5,B U,{3}{U}{B},Human;Villain,,,3,3
"Kang, Temporal Tyrant",Creature,4,B U,{2}{U}{B},Human;Villain,,draw,3,3
Kangee's Lieutenant,Creature,3,W,{2}{W},Bird;Soldier,,,1,3
"Kangee, Sky Warden",Creature,5,U W,{3}{W}{U},Bird;Wizard,,,3,3
Kapow!,Sorcery,3,G,{2}{G},,,,,3
"Kardur, Doomscourge",Creature,4,B R,{2}{B}{R},Demon;Berserker,,,4,3
Karmic Guide,Creature,5,W,{3}{W}{W},Angel;Spirit,,,2,3
Kavaron Harrier,Creature,1,R,{R},Robot;Soldier,,,2,3
"Kazuul, Tyrant of the Cliffs",Creature,5,R,{3}{R}{R},Ogre;Warrior,,,5,3
Keldon Berserker,Creature,4,R,{3}{R},Human;Soldier;Berserker,,,2,3
Key to the Side-Door,Artifact,1,,{1},,,draw,,3
Kickoff Celebrations,Enchantment,2,R,{1}{R},,,draw,,3
Kid Loki,Creature,1,U,{U},God;Hero;Villain,,,1,3
Killian's Confidence,Sorcery,2,B W,{W}{B},,,draw,,3
"Killmonger, Scourge of Wakanda",Creature,4,B G,{2}{B}{G},Human;Mercenary;Villain,,,3,3
Kin-Tree Severance,Instant,6,B G W,{2/W}{2/B}{2/G},,,removal,,3
Kindred Discovery,Enchantment,5,U,{3}{U}{U},,,draw,,3
King Crab,Creature,6,U,{4}{U}{U},Crab,,,4,3
Kingpin's Enforcers,Creature,3,B,{2}{B},Human;Villain,,draw,2,3
"Kiora, Behemoth Beckoner",Planeswalker,3,G U,{2}{G/U},Kiora,,draw,,3
"Kirol, Attentive First-Year",Creature,3,R W,{1}{R/W}{R/W},Vampire;Cleric,,,3,3
"Kirol, History Buff // Pack a Punch",Creature,2,R W,{R}{W} // {1}{R}{W},Vampire;Cleric,,,2,3
Kishla Skimmer,Creature,2,G U,{G}{U},Bird;Scout,,draw,2,3
Kismet,Enchantment,4,W,{3}{W},,,,,3
Kithkin Armor,Enchantment,1,W,{W},Aura,,,,3
Kjeldoran Dead,Creature,1,B,{B},Skeleton,,,3,3
Kjeldoran Guard,Creature,2,W,{1}{W},Human;Soldier,,,1,3
"Klaw, Sonic Subjugator",Creature,3,B,{2}{B},Human;Rogue;Villain,,,2,3
Knight of Wundagore,Creature,2,G,{1}{G},Cat;Knight;Villain,,,2,3
Knighthood,Enchantment,3,W,{2}{W},,,,,3
Knockout Maneuver,Sorcery,3,G,{2}{G},,,,,3
Knowledge Seeker,Creature,2,U,{1}{U},Fox;Spirit,,draw,2,3
"Kolaghan, the Storm's Fury",Creature,5,B R,{3}{B}{R},Dragon,,,4,3
"Kolodin, Triumph Caster",Creature,2,R W,{R}{W},Human;Pilot,,,2,3
Kraven's Cats,Creature,2,G,{1}{G},Cat;Villain,,,2,3
Kraven's Last Hunt,Enchantment,4,G,{3}{G},Saga,,,,3
"Kraven, Proud Predator",Creature,3,G R,{1}{R}{G},Human;Warrior;Villain,,,*,3
Kree Commandos,Creature,3,W,{2}{W},Kree;Soldier;Villain,,,2,3
Kree Sentinel,Creature,5,R,{4}{R},Kree;Robot;Villain,,fetch:basic,5,3
Krile Baldesion,Creature,2,U W,{W}{U},Dwarf;Wizard,,,2,3
Kris Mage,Creature,1,R,{R},Human;Spellshaper,,,1,3
Krovikan Sorcerer,Creature,3,U,{2}{U},Human;Wizard;Sorcerer,,draw,1,3
Kulrath Mystic,Creature,3,U,{2}{U},Elemental;Wizard,,,2,3
Kulrath Zealot,Creature,6,R,{5}{R},Elemental;Warrior,,fetch:basic,6,3
Kyren Glider,Creature,2,R,{1}{R},Goblin,,,1,3
Kyren Legate,Creature,2,R,{1}{R},Goblin,,,1,3
Kyren Sniper,Creature,3,R,{2}{R},Goblin,,,1,3
Kíli the Resourceful,Creature,2,W,{1}{W},Dwarf;Scout,,draw,1,3
Lab Rats,Sorcery,1,B,{B},,,,,3
Laboratory Maniac,Creature,3,U,{2}{U},Human;Wizard,,draw,2,3
Laccolith Grunt,Creature,3,R,{2}{R},Beast,,,2,3
Laccolith Rig,Enchantment,1,R,{R},Aura,,,,3
Laccolith Titan,Creature,7,R,{5}{R}{R},Beast,,,6,3
Laccolith Warrior,Creature,4,R,{2}{R}{R},Beast;Warrior,,,3,3
Laccolith Whelp,Creature,1,R,{R},Beast,,,1,3
"Lady Octopus, Inspired Inventor",Creature,1,U,{U},Human;Scientist;Villain,,,0,3
"Laelia, the Blade Reforged",Creature,3,R,{2}{R},Spirit;Warrior,,,2,3
Lake-town,Land,0,U W,,,W U,etb-tapped,,3
Lake-town Mariners // Gone Fishing,Creature,6,U,{4}{U}{U} // {3}{U},Human;Citizen,,,6,3
Lake-town Toymaker,Creature,4,W,{3}{W},Human;Artificer,,,3,3
Lakeshore Apothecary,Creature,2,U,{1}{U},Human;Cleric,,,1,3
Lancers en-Kor,Creature,5,W,{3}{W}{W},Kor;Soldier,,,3,3
Land Grant,Sorcery,2,G,{1}{G},,,fetch:forest,,3
Lapis Lazuli Talisman,Artifact,2,,{2},,,,,3
Larceny,Enchantment,5,B,{3}{B}{B},,,,,3
Large Bear,Creature,5,B G,{3}{B/G}{B/G},Bear,,,5,3
Lashknife,Enchantment,2,W,{1}{W},Aura,,,,3
Lassoed by the Law,Enchantment,4,W,{3}{W},,,removal,,3
Last Breath,Instant,2,W,{1}{W},,,removal,,3
Last Light of Durin's Day,Enchantment,2,R,{1}{R},,,fetch:mountain;ramp,,3
Last-Ditch Effort,Instant,1,R,{R},,,,,3
"Lathliss, Dragon Queen",Creature,6,R,{4}{R}{R},Dragon,,,6,3
Laughing Mad,Instant,3,R,{2}{R},,,draw,,3
Lava Axe,Sorcery,5,R,{4}{R},,,,,3
Lava Burst,Sorcery,1,R,{X}{R},,,,,3
Lava Storm,Instant,5,R,{3}{R}{R},,,,,3
Lavaleaper,Creature,4,R,{3}{R},Elemental,W U B R G,,4,3
Lawbringer,Creature,3,W,{2}{W},Kor;Rebel,,,2,3
Lay Waste,Sorcery,4,R,{3}{R},,,draw;removal,,3
Lead Golem,Creature,5,,{5},Golem,,,3,3
Lead Pipe,Artifact,1,B,{B},Clue;Equipment,,draw,,3
"Leader, Super-Genius",Creature,4,U,{2}{U}{U},Gamma;Scientist;Villain,,draw,1,3
Leap,Instant,1,U,{U},,,draw,,3
Lecturing Scornmage,Creature,1,B,{B},Human;Warlock,,,1,3
Leech Collector // Bloodletting,Creature,2,B,{1}{B} // {B},Human;Warlock,,,2,3
Leonin Surveyor,Creature,2,W,{1}{W},Cat;Scout,,draw,2,3
Lethal Scheme,Instant,4,B,{2}{B}{B},,,draw;removal,,3
Levitation,Enchantment,4,U,{2}{U}{U},,,,,3
Ley Line,Enchantment,4,G,{3}{G},,,,,3
Leyline Axe,Artifact,4,,{4},Equipment,,,,3
Library of Lat-Nam,Sorcery,5,U,{4}{U},,,draw,,3
Lifestream's Blessing,Instant,6,G,{4}{G}{G},,,draw,,3
Light of Day,Enchantment,4,W,{3}{W},,,,,3
Light of Judgment,Instant,5,R,{4}{R},,,,,3
Lightbringer,Creature,3,W,{2}{W},Kor;Rebel,,,2,3
Lightning Blast,Instant,4,R,{3}{R},,,,,3
Lightning Greaves,Artifact,2,,{2},Equipment,,,,3
Lightning Helix,Instant,2,R W,{R}{W},,,,,3
Lightning Hounds,Creature,4,R,{2}{R}{R},Dog,,,3,3
Lightning Strike,Instant,2,R,{1}{R},,,,,3
Lightshield Parry,Instant,1,W,{W},,,draw,,3
Lightwheel Enhancements,Enchantment,1,W,{W},Aura,,,,3
Liminal Hold,Enchantment,4,W,{3}{W},,,,,3
Lingering Souls,Sorcery,3,B W,{2}{W},,,,,3
Little Bear,Creature,3,G,{2}{G},Bear,,,3,3
"Living Brain, Mechanical Marvel",Creature,4,,{4},Robot;Villain,,,3,3
Living Conundrum,Creature,5,U,{4}{U},Elemental,,draw,2,3
Living History,Enchantment,2,R,{1}{R},,,,,3
Living Lands,Enchantment,4,G,{3}{G},,,,,3
"Lizard, Connors's Curse",Creature,4,G,{2}{G}{G},Lizard;Villain,,,5,3
Llanowar Elves,Creature,1,G,{G},Elf;Druid,G,dork;ramp,1,3
Llanowar Wastes,Land,0,B G,,,B G C,,,3
Loan Shark,Creature,4,U,{3}{U},Shark;Rogue,,draw,3,3
Locust Spray,Instant,1,B,{B},,,draw,,3
Lofty Dreams,Enchantment,5,U,{3}{U}{U},Aura,,draw,,3
Loki Laufeyson,Creature,2,R,{1}{R},God;Sorcerer;Villain,,,2,3
"Loki, God of Mischief",Creature,2,U,{1}{U},God;Sorcerer;Villain,,draw,2,3
Lone Wolf,Creature,3,G,{2}{G},Wolf,,,2,3
Long Lake Nuisance,Creature,4,U,{3}{U},Bird,,draw,3,3
Long-Bodied Grey Dog,Creature,3,,{3},Dog,W U B R G,dork;ramp,2,3
Long-Lost Lances,Artifact,2,,{2},Equipment,,,,3
Longbow Archer,Creature,2,W,{W}{W},Human;Soldier;Archer,,,2,3
Looming Shade,Creature,3,B,{2}{B},Shade,,,1,3
Loporrit Scout,Creature,3,G,{2}{G},Rabbit;Scout,,,3,3
Lorehold Archivist // Restore Relic,Creature,3,R W,{1}{R}{W} // {2}{R}{W},Dwarf;Artificer,,removal,3,3
Lorehold Campus,Land,0,R W,,,W R,etb-tapped,,3
Lorehold Charm,Instant,2,R W,{R}{W},,,,,3
"Lorehold, the Historian",Creature,5,R W,{3}{R}{W},Elder;Dragon,,draw,5,3
Lost in the Maze,Enchantment,2,U,{X}{U}{U},,,,,3
"Lotho, Corrupt Shirriff",Creature,2,B W,{W}{B},Halfling;Rogue,W U B R G,dork;ramp,2,3
Lotus Field,Land,0,,,,W U B R G,etb-tapped,,3
Lotusguard Disciple,Creature,3,W,{2}{W},Bird;Cleric,,,2,3
Love on the Battlefield,Enchantment,3,R U,{1}{U}{R},,,draw,,3
Loxodon Surveyor,Creature,3,G,{2}{G},Elephant;Scout,,draw,3,3
"Lozhan, Dragons' Legacy",Creature,5,R U,{3}{U}{R},Dragon;Shaman,,,4,3
Lucky the Pizza Dog,Creature,2,G,{1}{G},Dog,,,2,3
"Luke Cage, Hero for Hire",Creature,4,R,{2}{R}{R},Human;Mercenary;Hero,W U B R G,dork;ramp,4,3
"Luke Cage, Power Man",Creature,4,W,{3}{W},Human;Hero,,,2,3
Lumbering Worldwagon,Artifact,3,G,{2}{G},Vehicle,,fetch:basic;ramp,*,3
Luminollusk,Creature,4,G,{3}{G},Elemental,,,2,3
Lunatic Pandora,Artifact,1,,{1},,,,,3
Lunge,Instant,3,R,{2}{R},,,,,3
Lurking Lizards,Creature,2,G,{1}{G},Lizard;Villain,,,1,3
Lurking Skirge,Enchantment,2,B,{1}{B},,,,,3
Luxurious Locomotive,Artifact,5,,{5},Vehicle,W U B R G,ramp;rock,6,3
Lys Alana Dignitary,Creature,2,G,{1}{G},Elf;Advisor,G,dork;mana2;ramp,2,3
Lys Alana Informant,Creature,2,G,{1}{G},Elf;Scout,,,3,3
Lyse Hext,Creature,3,U W,{1}{W}{U},Human;Rebel;Monk,,discount:noncreature:1,2,3
"MACH-1, Swooping Scoundrel",Creature,2,B,{1}{B},Human;Villain,,,1,3
Macabre Reconstruction,Sorcery,4,B,{3}{B},,,,,3
Machinesmith Automaton,Creature,3,R,{2}{R},Robot;Villain,,,2,3
Madame Hydra,Creature,4,B R,{2}{B}{R},Human;Villain,,,2,3
Madame Masque,Creature,5,B,{4}{B},Human;Villain,,draw,3,3
"Madame Web, Clairvoyant",Creature,6,U,{4}{U}{U},Mutant;Advisor,,,4,3
Maelstrom of the Spirit Dragon,Land,0,,,,W U B R G C,mana-restricted,,3
Mage Tower Referee,Creature,2,,{2},Construct,,,2,3
Mageta the Lion,Creature,5,W,{3}{W}{W},Human;Spellshaper,,,3,3
Mageta's Boon,Enchantment,2,W,{1}{W},Aura,,,,3
Magic Damper,Instant,1,U,{U},,,,,3
Magistrate's Veto,Enchantment,3,R,{2}{R},,,,,3
Magitek Armor,Artifact,4,W,{3}{W},Vehicle,,,4,3
Magitek Infantry,Creature,1,W,{W},Robot;Soldier,,,1,3
Magitek Scythe,Artifact,4,,{4},Equipment,,,,3
Magma Mine,Artifact,1,,{1},,,,,3
Magmakin Artillerist,Creature,3,R,{2}{R},Elemental;Pirate,,draw,1,3
Magmatic Force,Creature,8,R,{5}{R}{R}{R},Elemental,,,7,3
Magnificent End,Instant,5,W,{4}{W},,,,,3
"Mai, Scornful Striker",Creature,2,B,{1}{B},Human;Noble;Ally,,,2,3
Majestic Genesis,Sorcery,8,G,{6}{G}{G},,,,,3
Make Your Move,Instant,3,W,{2}{W},,,removal,,3
Malboro,Creature,6,B,{4}{B}{B},Plant;Horror,,fetch:swamp,4,3
Mana Drain,Instant,2,U,{U}{U},,C,counter,,3
Mana Geyser,Sorcery,5,R,{3}{R}{R},,R,,,3
Mana Prism,Artifact,3,,{3},,W U B R G C,ramp;rock,,3
Mana Short,Instant,3,U,{2}{U},,,,,3
Mana Vapors,Sorcery,2,U,{1}{U},,,,,3
Manta Ray,Creature,3,U,{1}{U}{U},Fish,,,3,3
Mantle of the Ancients,Enchantment,5,W,{3}{W}{W},Aura,,,,3
Marang River Regent // Coil and Catch,Creature,6,U,{4}{U}{U} // {3}{U},Dragon,,draw,6,3
Marauding Mako,Creature,1,R,{R},Shark;Pirate,,draw,1,3
Marauding Sphinx,Creature,5,U,{3}{U}{U},Sphinx;Rogue,,,3,3
Marsh Boa,Creature,1,G,{G},Snake,,,1,3
Marshals' Pathcruiser,Artifact,3,B G R U W,{3},Vehicle,,fetch:basic,6,3
Martyr's Cause,Enchantment,3,W,{2}{W},,,,,3
"Marvel Boy, Noh-Varr",Creature,2,R W,{1}{R/W},Kree;Soldier;Hero,,,1,3
Marvelous Melee,Instant,5,R,{4}{R},,,fetch:basic,,3
Mask of Law and Grace,Enchantment,1,W,{W},Aura,,,,3
Mask of Memory,Artifact,2,,{2},Equipment,,draw,,3
Masked Meower,Creature,1,R,{R},Spider;Cat;Hero,,draw,1,3
Master Pakku,Creature,2,U,{1}{U},Human;Advisor;Ally,,,1,3
Master of Arms,Creature,3,W,{2}{W},Human;Soldier,,,2,3
Master's Councillors,Creature,2,U,{1}{U},Human;Advisor,,,1,3
Masterful Flourish,Instant,1,B,{B},,,,,3
Masterwork of Ingenuity,Artifact,1,,{1},Equipment,,,,3
"Matt Murdock, Justice Seeker",Creature,2,W,{1}{W},Human;Advisor;Hero,,,2,3
Maximum Overdrive,Instant,2,B,{1}{B},,,,,3
"Mazirek, Kraul Death Priest",Creature,5,B G,{3}{B}{G},Insect;Shaman,,,2,3
Meandering River,Land,0,U W,,,W U,etb-tapped,,3
Meanders Guide,Creature,3,W,{2}{W},Merfolk;Scout,,,3,3
Mechanical Mobster,Creature,3,,{3},Human;Robot;Villain,,draw,2,3
Megaton's Fate,Sorcery,6,R,{5}{R},,,removal,,3
Megrim,Enchantment,3,B,{2}{B},,,,,3
Melancholic Poet,Creature,2,B,{1}{B},Elf;Bard,,,2,3
Memory Lapse,Instant,2,U,{1}{U},,,counter,,3
Merchant of Venom,Creature,4,B,{3}{B},Cat;Warlock,,,1,3
Merfolk of the Pearl Trident,Creature,1,U,{U},Merfolk,,,1,3
Mesa Falcon,Creature,2,W,{1}{W},Bird,,,1,3
Metallic Mimic,Creature,2,,{2},Shapeshifter,,,2,3
Metathran Elite,Creature,3,U,{1}{U}{U},Metathran;Soldier,,,2,3
Methods of the Mighty,Instant,4,W,{3}{W},,,removal,,3
"Mica, Reader of Ruins",Creature,4,R,{3}{R},Human;Artificer,,,4,3
Michelangelo's Technique,Sorcery,5,G,{4}{G},,,,,3
"Michelangelo, Mutant BFF",Creature,4,G,{2}{G}{G},Mutant;Ninja;Turtle,,,4,3
"Midgar, City of Mako // Reactor Raid",Land,0,B,{2}{B},Town,B,draw;etb-tapped,,3
Midnight Tilling,Instant,2,G,{1}{G},,,,,3
Migratory Route,Sorcery,5,U W,{3}{W}{U},,,fetch:basic,,3
"Miirym, Sentinel Wyrm",Creature,6,G R U,{3}{G}{U}{R},Dragon;Spirit,,,6,3
Miles Morales,Creature,2,G R W,{1}{G} // {3}{R}{G}{W},Human;Citizen;Hero,,,1,3
Millikin,Creature,2,,{2},Construct,C,dork;ramp;rock,0,3
Millstone,Artifact,2,,{2},,,,,3
"Mimeoplasm, Revered One",Creature,3,B G U,{X}{B}{G}{U},Ooze,,,0,3
Mind Roots,Sorcery,3,B G,{1}{B}{G},,,,,3
Mind Stone,Artifact,2,,{2},,C,draw;ramp;rock,,3
Mindful Biomancer,Creature,2,G,{1}{G},Dryad;Druid,,,2,3
Mine Raider,Creature,3,R,{2}{R},Human;Rogue,W U B R G,dork;ramp,3,3
Mirage Mesa,Land,0,,,Desert,W U B R G,etb-tapped,,3
Mirkwood,Land,0,B G,,,B G,etb-tapped,,3
Mirkwood Meditator,Creature,3,U,{2}{U},Elf;Druid,,,2,3
Mirkwood Nurturer,Creature,3,G U,{2}{G/U},Elf;Ranger,,,3,3
Mirkwood Pathmaker,Creature,3,G,{2}{G},Elf;Ranger,,,*,3
Miscalculation,Instant,2,U,{1}{U},,,counter;draw,,3
Mischievous Poltergeist,Creature,3,B,{2}{B},Spirit,,,1,3
Misdirection,Instant,5,U,{3}{U}{U},,,,,3
Misstep,Sorcery,2,U,{1}{U},,,,,3
Mister Fantastic,Creature,3,G R U W,{2}{U},Human;Scientist;Hero,,draw,2,3
"Mister Fantastic, Reed Richards",Creature,4,U,{3}{U},Human;Scientist;Hero,,draw,2,3
Mister Gutsy,Creature,2,,{2},Robot;Soldier,,,1,3
"Mister Hyde, Monster Within",Creature,3,G,{2}{G},Human;Villain,,draw,2,3
Mister Immortal,Creature,2,G,{1}{G},Mutant;Hero,,,2,3
Mistmeadow Council,Creature,5,G,{4}{G},Kithkin;Advisor,,draw,4,3
Mistmoon Griffin,Creature,4,W,{3}{W},Griffin,,,2,3
Mistveil Plains,Land,0,W,,Plains,W,etb-tapped,,3
"Misty Knight, Hero for Hire",Creature,2,R,{1}{R},Human;Detective;Hero,,draw,3,3
Misty Mountains Raider,Creature,5,R,{4}{R},Goblin;Soldier,,,4,3
"Mjölnir, Hammer of Thor",Artifact,4,R,{3}{R},Equipment,,,,3
Mob Justice,Sorcery,2,R,{1}{R},,,,,3
"Mockingbird, Ace Agent",Creature,4,W,{3}{W},Human;Spy;Hero,,,2,3
Mogg Bombers,Creature,4,R,{3}{R},Goblin,,,3,3
Mogg Flunkies,Creature,2,R,{1}{R},Goblin,,,3,3
Mogg Salvage,Instant,3,R,{2}{R},,,removal,,3
Mogg Toady,Creature,2,R,{1}{R},Goblin,,,2,3
"Moira Brown, Guide Author",Creature,3,R W,{1}{R}{W},Human;Citizen,,,2,3
Moldervine Reclamation,Enchantment,5,B G,{3}{B}{G},,,draw,,3
"Mole Man, Moloid Master",Creature,3,G,{2}{G},Human;Villain,,,1,3
"Molly Hayes, Runaway",Creature,3,R,{2}{R},Mutant;Hero,,,3,3
Molten Slagheap,Land,0,B R,,,B R C,mana2,,3
Molting Harpy,Creature,1,B,{B},Harpy;Mercenary,,,2,3
Moment of Glory,Sorcery,1,W,{W},,,,,3
Moment of Silence,Instant,1,W,{W},,,,,3
Momentum Breaker,Enchantment,2,B,{1}{B},,,,,3
"Momo, Friendly Flier",Creature,1,W,{W},Lemur;Bat;Ally,,,1,3
Monica Rambeau,Creature,3,R W,{2}{W} // {2}{R}{W}{W},Human;Hero,,,3,3
Monk Idealist,Creature,3,W,{2}{W},Human;Monk;Cleric,,,2,3
Monk Realist,Creature,2,W,{1}{W},Human;Monk;Cleric,,,1,3
Monologue Tax,Enchantment,3,W,{2}{W},,,,,3
Mons's Goblin Raiders,Creature,1,R,{R},Goblin,,,1,3
Monstrous Growth,Sorcery,2,G,{1}{G},,,,,3
Moogles' Valor,Instant,5,W,{3}{W}{W},,,,,3
Moon Sprite,Creature,2,G,{1}{G},Faerie,,,1,3
Moonlit Wake,Enchantment,3,W,{2}{W},,,,,3
Moonshaker Cavalry,Creature,8,W,{5}{W}{W}{W},Spirit;Knight,,,6,3
"Moonstone, Harsh Mistress",Creature,4,B,{3}{B},Human;Doctor;Villain,,,2,3
Moorland Haunt,Land,0,U W,,,C,,,3
Morbid Opportunist,Creature,3,B,{2}{B},Human;Rogue,,draw,1,3
Morbius the Living Vampire,Creature,4,B U,{2}{U}{B},Vampire;Scientist;Villain,,,3,3
Morcant's Loyalist,Creature,3,B G,{1}{B}{G},Elf;Warrior,,,3,3
